"module_code","canonical_field_code","label_zh","current_source","current_column_or_field","target_authority","data_type","granularity","default_audience","evidence_rule","sector_scope","migration_action"
"identity","identifier.batch","批次号","product_digital_identity","batch_id","product_digital_identity.batch_id","string","batch","PUBLIC","declared","all","KEEP"
"identity","identifier.serial","序列号","product_digital_identity","serial_id","product_digital_identity.serial_id","string","item","LEGITIMATE_INTEREST","declared","all","KEEP"
"identity","identifier.digital_link","GS1 数字链接","product_digital_identity","digital_link_url","product_digital_identity.digital_link_url","uri","model/batch/item","PUBLIC","system","all","KEEP"
"identity","identifier.carrier_type","数据载体类型","product_digital_identity","data_carrier_type","product_digital_identity.data_carrier_type","enum","model/batch/item","PUBLIC","system","all","KEEP"
"identity","operator.economic_operator","责任经济运营者","product_sector_field_values + battery_field_value","economic_operator_information","canonical field value","object","model","PUBLIC","evidence_required","all","NORMALIZE"
"identity","operator.manufacturer","制造商","products.brand + battery_field_value","manufacturer_information","canonical field value","object","model","PUBLIC","evidence_required","all","NORMALIZE"
"identity","manufacturing.place","制造地点","product_sector_field_values + battery_model_profile","manufacturing_place","canonical field value","object","model/batch","LEGITIMATE_INTEREST","declared","all","NORMALIZE"
"identity","manufacturing.date","制造日期","product_sector_field_values + battery_item","manufacturing_date","canonical field value","date","batch/item","LEGITIMATE_INTEREST","declared","all","NORMALIZE"
"materials","material.name","材料名称","product_materials","material_name + material_name_zh","product_materials","localized_string","model","PUBLIC","declared","all","KEEP"
"materials","material.type","材料类别","product_materials","material_type + material_type_zh","product_materials","localized_string","model","PUBLIC","declared","all","KEEP"
"materials","material.mass_share","质量占比","product_materials","percentage","product_materials.percentage","decimal","model","PUBLIC","evidence_required","all","KEEP"
"materials","material.recycled_content","材料再生成分","product_materials","recycled_content","product_materials.recycled_content","decimal","model","PUBLIC","evidence_required","all","KEEP"
"materials","material.origin_country","材料来源国家","product_materials","origin_country","product_materials.origin_country","country_code","model","LEGITIMATE_INTEREST","evidence_required","all","KEEP"
"materials","material.chemical_info","材料化学信息","product_materials","chemical_info + chemical_info_zh","product_materials","localized_text","model","LEGITIMATE_INTEREST","evidence_required","all","KEEP"
"materials","material.recyclability","材料可回收性","product_materials","recyclability + recyclability_zh","product_materials","localized_text","model","PUBLIC","declared","all","KEEP"
"materials","material.supplier","材料供应商","product_materials + product_suppliers","supplier_id","supplier relation","reference","model","LEGITIMATE_INTEREST","evidence_required","all","KEEP"
"materials","material.certification","材料证据","product_materials + product_certificates","certification","evidence link","reference","model","PUBLIC","uploaded","all","MOVE"
"materials","bom.component_name","组件名称","product_bom","component_name + component_name_zh","product_bom","localized_string","model","PUBLIC","declared","all","KEEP"
"materials","bom.component_type","组件类型","product_bom","component_type + component_type_zh","product_bom","localized_string","model","LEGITIMATE_INTEREST","declared","all","KEEP"
"materials","bom.quantity","组件数量","product_bom","quantity","product_bom.quantity","decimal","model","LEGITIMATE_INTEREST","declared","all","KEEP"
"materials","bom.unit","组件单位","product_bom","unit","product_bom.unit","unit","model","LEGITIMATE_INTEREST","declared","all","KEEP"
"materials","bom.position","组件位置","product_bom","position","product_bom.position","string","model","LEGITIMATE_INTEREST","declared","all","KEEP"
"environment","environment.carbon_footprint","产品碳足迹","product_esg_metrics + battery_field_value","carbon_footprint + battery.battery_carbon_footprint_per_functional_unit","sector canonical source","decimal","model","PUBLIC","evidence_required","all","NORMALIZE"
"environment","environment.water_usage","用水量","product_esg_metrics","water_usage","product_esg_metrics.water_usage","decimal","model","PUBLIC","evidence_required","textile/furniture/construction","KEEP"
"environment","environment.energy_consumption","能源消耗","product_esg_metrics","energy_consumption","product_esg_metrics.energy_consumption","decimal","model","PUBLIC","evidence_required","all","KEEP"
"environment","environment.waste_generation","废弃物产生量","product_esg_metrics","waste_generation","product_esg_metrics.waste_generation","decimal","model","PUBLIC","evidence_required","all","KEEP"
"environment","environment.recycled_content_total","综合再生成分","product_esg_metrics + product_materials","recycled_content","derived from product_materials","decimal","model","PUBLIC","derived_evidence","all","DERIVE"
"environment","environment.chemical_management","化学品管理","product_esg_metrics","chemical_management","product_esg_metrics.chemical_management","text","model","PUBLIC","evidence_required","all","KEEP"
"environment","environment.methodology","核算方法","product_esg_metrics","methodology","product_esg_metrics.methodology","string","model","LEGITIMATE_INTEREST","evidence_required","all","KEEP"
"environment","environment.verifier","验证方","product_esg_metrics","verified_by","product_esg_metrics.verified_by","string","model","LEGITIMATE_INTEREST","uploaded","all","KEEP"
"environment","environment.lca_document","LCA/EPD 支持文件","product_esg_metrics + product_documents","lca_report_url","evidence link","reference","model","PUBLIC","uploaded","all","MOVE"
"performance","performance.field_value","性能耐久安全字段","product_sector_field_values","module performance/performance_durability","canonical configured field value","typed_json","model","PUBLIC","template_driven","non-battery","NORMALIZE"
"performance","battery.rated_capacity","额定容量","battery_field_value","battery.rated_capacity","battery_field_value","decimal","model","PUBLIC","evidence_required","battery","KEEP"
"performance","battery.rated_energy","额定能量","battery_model_profile + battery_field_value","rated_energy_kwh","battery_field_value projection","decimal","model","PUBLIC","evidence_required","battery","NORMALIZE"
"performance","battery.nominal_voltage","标称电压","battery_field_value","battery.nominal_voltage","battery_field_value","decimal","model","PUBLIC","evidence_required","battery","KEEP"
"performance","battery.maximum_power","最大允许功率","battery_field_value","battery.maximum_permitted_battery_power","battery_field_value","decimal","model","LEGITIMATE_INTEREST","evidence_required","battery","KEEP"
"performance","battery.expected_lifetime","预期寿命","battery_field_value","expected lifetime fields","battery_field_value","object","model","PUBLIC","evidence_required","battery","KEEP"
"performance","battery.temperature_range","温度范围","battery_field_value","temperature boundary fields","battery_field_value","object","model","LEGITIMATE_INTEREST","evidence_required","battery","KEEP"
"sector","textile.fibre_composition","纤维组成","product_materials + product_sector_field_values","fiber_composition","derived from product_materials","array","model","PUBLIC","evidence_required","textile","DERIVE"
"sector","textile.restricted_substances","纺织受限物质声明","product_sector_field_values","restricted_substance_statement","canonical configured field value","text","model","PUBLIC","evidence_required","textile","KEEP"
"sector","textile.durability_basis","耐用性测试依据","product_sector_field_values","durability_test_basis","canonical configured field value","text","model","PUBLIC","evidence_required","textile","KEEP"
"sector","textile.care_repair_reuse","护理维修再利用路径","products + product_sector_field_values","care_repair_reuse_route","canonical configured field value","text","model","PUBLIC","declared","textile","MOVE"
"sector","furniture.durability_test","家具耐久性测试","product_sector_field_values","durability_test","canonical configured field value","text","model","PUBLIC","evidence_required","furniture","KEEP"
"sector","furniture.replaceable_parts","可替换部件","product_sector_field_values + product_bom","replaceable_parts","canonical configured field value","array","model","PUBLIC","declared","furniture","NORMALIZE"
"sector","construction.declaration_of_performance","性能声明","product_sector_field_values + product_documents","declaration_of_performance","evidence link","reference","model","PUBLIC","uploaded","construction","MOVE"
"sector","construction.voc_reach_evidence","VOC/REACH 证据","product_sector_field_values + product_documents","voc_or_reach_evidence","evidence link","reference","model","PUBLIC","uploaded","construction","MOVE"
"sector","electronics.battery_safety_document","电池安全文件","product_sector_field_values + product_documents","battery_safety_document","evidence link","reference","model","PUBLIC","uploaded","consumer_electronics","MOVE"
"sector","electronics.firmware_update_policy","固件安全更新政策","product_sector_field_values","firmware_security_update_policy","canonical configured field value","text","model","PUBLIC","declared","consumer_electronics","KEEP"
"sector","electronics.weee_route","WEEE 回收路径","hard-coded page fallback + circularity","none","canonical configured field value","text","model","PUBLIC","declared","consumer_electronics","NEW"
"traceability","trace.event_type","追溯事件类型","product_traceability","event_type","product_traceability.event_type","enum","batch/item","PUBLIC","declared","all","KEEP"
"traceability","trace.event_name","追溯事件名称","product_traceability","event_name + event_name_zh","product_traceability","localized_string","batch/item","PUBLIC","declared","all","KEEP"
"traceability","trace.event_time","追溯事件时间","product_traceability","event_date","product_traceability.event_date","datetime","batch/item","PUBLIC","declared","all","KEEP"
"traceability","trace.location","追溯地点","product_traceability","country + city + facility_name","product_traceability","object","batch/item","PUBLIC","declared","all","KEEP"
"traceability","trace.supplier","追溯供应商","product_traceability","supplier_name","supplier relation","reference","batch/item","LEGITIMATE_INTEREST","evidence_required","all","MOVE"
"traceability","trace.transport_method","运输方式","product_traceability","transport_method","product_traceability.transport_method","enum","batch/item","PUBLIC","declared","all","KEEP"
"evidence","evidence.certificate","证书或声明","product_certificates","all certificate fields","product_certificates","object","model","PUBLIC","uploaded","all","KEEP"
"evidence","evidence.document","证据文件","product_documents","all document fields","dpp_file_version","object","model","audience_configured","uploaded","all","MOVE"
"evidence","evidence.field_link","字段证据映射","dpp_evidence_links","supported_field + evidence_ref_id","dpp_evidence_links","reference","model","AUTHORITY_ONLY","system","all","HARDEN"
"evidence","evidence.governance","数据治理","product_data_governance","data source/owner/audit status","field metadata + product governance","object","model","AUTHORITY_ONLY","system","all","NORMALIZE"
"circularity","circularity.care","护理说明","products + product_consumer_transparency","care_instructions","canonical configured field value","localized_text","model","PUBLIC","declared","all","MOVE"
"circularity","circularity.repair","维修说明","products + product_circularity","repair_instructions + disassembly_guide","product_circularity","localized_text","model","PUBLIC","declared","all","MOVE"
"circularity","circularity.repairability","可维修性评分","product_circularity","repairability_score","product_circularity.repairability_score","decimal","model","PUBLIC","evidence_required","all","KEEP"
"circularity","circularity.recyclability","可回收性评分","product_circularity","recyclability_score","product_circularity.recyclability_score","decimal","model","PUBLIC","evidence_required","all","KEEP"
"circularity","circularity.take_back","回收计划","product_circularity","take_back_program","product_circularity.take_back_program","text","model","PUBLIC","declared","all","KEEP"
"circularity","circularity.disassembly","拆解说明","product_circularity","disassembly_guide","product_circularity.disassembly_guide","text","model","LEGITIMATE_INTEREST","evidence_required","all","KEEP"
"circularity","circularity.end_of_life","生命周期结束说明","products + product_circularity","end_of_life_instructions + end_of_life_info","product_circularity","localized_text","model","PUBLIC","declared","all","MOVE"
"lifecycle","lifecycle.event","生命周期事件","product_traceability + battery_lifecycle_event","keyword-filtered traceability + battery events","dpp_lifecycle_event","object","item","audience_configured","append_only","all","NEW"
"battery_operation","battery.operation.latest","电池最新运行快照","battery_operating_metric_latest","metric projection","battery operating projection","object","item","LEGITIMATE_INTEREST","device_or_service","battery","KEEP"
"battery_operation","battery.operation.history","电池历史趋势","battery_operating_metric","metric rows","battery_operating_metric","timeseries","item","LEGITIMATE_INTEREST","append_only","battery","KEEP"
"battery_operation","battery.operation.event","电池生命周期事件","battery_lifecycle_event","event rows","battery_lifecycle_event","object","item","LEGITIMATE_INTEREST","append_only","battery","KEEP"
"publication","publication.version","发布版本","product_versions","version","dpp_publication.version","string","model","PUBLIC","system","all","MOVE"
"publication","publication.snapshot","完整发布快照","product_versions","snapshot.publicDpp","dpp_publication.canonical_snapshot","json","model","INTERNAL","system","all","REBUILD"
"publication","publication.hash","发布 Hash","product_versions","data_hash","dpp_publication.data_hash","string","model","PUBLIC","system","all","MOVE"
"registry","registry.submission","Registry 提交","dpp_registry_submissions + registry_submission","submission records","registry_submission","object","model/item","AUTHORITY_ONLY","system","battery/regulated","CONSOLIDATE"
"audit","audit.event","系统审计事件","dpp_audit_logs + dpp_access_audit","audit rows","append-only server audit","object","all","INTERNAL","system","all","HARDEN"
"integrity","integrity.blockchain_anchor","区块链锚定","dpp_blockchain_anchors","anchor fields","dpp_blockchain_anchors","object","publication","AUTHORITY_ONLY","real_connector","all","HARDEN"
